t,step,sym,C,E,rnorm,purity,S,detg,det_thr,reso_hit_freq,reso_hit_mag,ew_varE,ew_ac1E,ew_dS,harm_sub_power,harm_fund_power,harm_2f_power,harm_3f_power
0.000000,0,^,0.100000,0.019858,0.800985,0.820789,0.323999,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070922,1,^,0.100986,0.039716,0.801972,0.821579,0.322911,,,,,0.000000,0.000000,-0.001088,0.000000,0.000000,0.000000,0.000000
0.141844,2,^,0.102958,0.059526,0.802959,0.822372,0.321820,,,,,0.000262,1.000000,-0.001092,0.000000,0.000000,0.000000,0.000000
0.212766,3,^,0.105913,0.079237,0.803948,0.823166,0.320724,,,,,0.000490,1.000000,-0.001096,0.000000,0.000000,0.000000,0.000000
0.283688,4,^,0.109847,0.098801,0.804938,0.823963,0.319623,,,,,0.000779,0.999999,-0.001100,0.000000,0.000000,0.000000,0.000000
0.354610,5,^,0.114752,0.118171,0.805930,0.824761,0.318519,,,,,0.001129,0.999999,-0.001104,0.000000,0.000000,0.000000,0.000000
0.425532,6,^,0.120618,0.137297,0.806922,0.825562,0.317411,,,,,0.001535,0.999998,-0.001108,0.000000,0.000000,0.000000,0.000000
0.496454,7,^,0.127434,0.156131,0.807916,0.826364,0.316298,,,,,0.001995,0.999998,-0.001113,0.000000,0.000000,0.000000,0.000000
0.567376,8,^,0.135186,0.174627,0.808911,0.827169,0.315181,,,,,0.002504,0.999997,-0.001117,0.000000,0.000000,0.000000,0.000000
0.638298,9,^,0.143855,0.192739,0.809907,0.827975,0.314060,,,,,0.003059,0.999996,-0.001121,0.000000,0.000000,0.000000,0.000000
0.709220,10,^,0.153424,0.210420,0.810905,0.828783,0.312935,,,,,0.003654,0.999994,-0.001125,0.000000,0.000000,0.000000,0.000000
0.780142,11,^,0.163870,0.227626,0.811904,0.829594,0.311805,,,,,0.004285,0.999993,-0.001130,0.000000,0.000000,0.000000,0.000000
0.851064,12,^,0.175170,0.244313,0.812903,0.830406,0.310671,,,,,0.004947,0.999991,-0.001134,0.000000,0.000000,0.000000,0.000000
0.921986,13,^,0.187299,0.260439,0.813905,0.831220,0.309533,,,,,0.005633,0.999989,-0.001138,0.000000,0.000000,0.000000,0.000000
0.992908,14,^,0.200229,0.275963,0.814907,0.832037,0.308390,,,,,0.006337,0.999987,-0.001143,0.000000,0.000000,0.000000,0.000000
1.063830,15,^,0.213929,0.290846,0.815911,0.832855,0.307243,,,,,0.007055,0.999984,-0.001147,0.000000,0.000000,0.000000,0.000000
1.134752,16,^,0.228369,0.305048,0.816915,0.833675,0.306092,,,,,0.007779,0.999982,-0.001152,0.000000,0.000000,0.000000,0.000000
1.205674,17,^,0.243513,0.318533,0.817922,0.834498,0.304936,,,,,0.008504,0.999978,-0.001156,0.000000,0.000000,0.000000,0.000000
1.276596,18,^,0.259326,0.331266,0.818929,0.835322,0.303775,,,,,0.009223,0.999974,-0.001160,0.000000,0.000000,0.000000,0.000000
1.347518,19,^,0.275772,0.343215,0.819937,0.836149,0.302610,,,,,0.009931,0.999970,-0.001165,0.000000,0.000000,0.000000,0.000000
1.418440,20,^,0.292811,0.354346,0.820947,0.836977,0.301441,,,,,0.010621,0.999964,-0.001170,0.000000,0.000000,0.000000,0.000000
1.489362,21,^,0.310403,0.364632,0.821958,0.837808,0.300267,,,,,0.011288,0.999958,-0.001174,0.000000,0.000000,0.000000,0.000000
1.560284,22,^,0.328505,0.374045,0.822971,0.838640,0.299088,,,,,0.011927,0.999951,-0.001179,0.000000,0.000000,0.000000,0.000000
1.631206,23,^,0.347075,0.382559,0.823984,0.839475,0.297904,,,,,0.012533,0.999943,-0.001183,0.000000,0.000000,0.000000,0.000000
1.702128,24,^,0.366067,0.390151,0.824999,0.840312,0.296716,,,,,0.013101,0.999934,-0.001188,0.000000,0.000000,0.000000,0.000000
1.773050,25,^,0.385436,0.396800,0.826015,0.841150,0.295524,,,,,0.013626,0.999923,-0.001193,0.000000,0.000000,0.000000,0.000000
1.843972,26,^,0.405136,0.402488,0.827032,0.841991,0.294326,,,,,0.014105,0.999910,-0.001197,0.000000,0.000000,0.000000,0.000000
1.914894,27,^,0.425117,0.407197,0.828051,0.842834,0.293124,,,,,0.014535,0.999896,-0.001202,0.000000,0.000000,0.000000,0.000000
1.985816,28,^,0.445333,0.410915,0.829071,0.843679,0.291917,,,,,0.014913,0.999878,-0.001207,0.000000,0.000000,0.000000,0.000000
2.056738,29,^,0.465733,0.413629,0.830092,0.844526,0.290705,,,,,0.015237,0.999858,-0.001212,0.000000,0.000000,0.000000,0.000000
2.127660,30,^,0.486268,0.415330,0.831114,0.845375,0.289489,,,,,0.015505,0.999834,-0.001217,0.000000,0.000000,0.000000,0.000000
2.198582,31,^,0.506887,0.416012,0.832138,0.846227,0.288267,,,,,0.015716,0.999807,-0.001222,0.000000,0.000000,0.000000,0.000000
2.269504,32,^,0.527540,0.415670,0.833162,0.847080,0.287041,,,,,0.015871,0.999774,-0.001226,0.000000,0.000000,0.000000,0.000000
2.340426,33,^,0.548176,0.414303,0.834189,0.847935,0.285809,,,,,0.015970,0.999735,-0.001231,0.000000,0.000000,0.000000,0.000000
2.411348,34,^,0.568744,0.411911,0.835216,0.848793,0.284573,,,,,0.016013,0.999689,-0.001236,0.000000,0.000000,0.000000,0.000000
2.482270,35,^,0.589194,0.408498,0.836245,0.849652,0.283332,,,,,0.016004,0.999635,-0.001241,0.000000,0.000000,0.000000,0.000000
